name,latitude,longitude,size,sizes,flightnum,origindelay,destdelay,avgoriginal,avgdest
Yuma,40.10829926,-102.7279968,medium_airport,small,177,0.242937853,0.350282486,4,2.81920904
Santa Barbara,34.0196991,-119.8529968,medium_airport,big,500,0.24,0.352,10.03,4.338
Aspen,39.25999832,-106.9120026,medium_airport,big,607,0.354200988,0.308072488,10.58484349,1.283360791
Idaho Falls,43.60129929,-112.2429962,medium_airport,small,208,0.153846154,0.275362319,0.769230769,-1.458937198
Bakersfield,35.26330185,-119.0459976,medium_airport,small,188,0.196808511,0.354497354,6.723404255,4.306878307
La Crosse,41.33560181,-86.9285965,medium_airport,small,49,0.204081633,0.489795918,7.979591837,14.20408163
Minot,47.91139984,-101.2490005,medium_airport,small,151,0.231788079,0.406666667,10.31788079,8.36
Flagstaff,35.13850021,-111.6709976,medium_airport,small,157,0.152866242,0.23566879,1.375796178,-1.21656051
Grand Forks,48.00080109,-97.12239838,medium_airport,small,94,0.287234043,0.483870968,5.372340426,7.064516129
Great Falls,47.48199844,-111.3710022,medium_airport,small,151,0.165562914,0.335526316,5.225165563,2.769736842
Monterey,38.398333,-79.600278,medium_airport,small,210,0.152380952,0.352380952,0.180952381,2.419047619
Twin Falls,42.48180008,-114.487999,medium_airport,small,122,0.352459016,0.488372093,7.844262295,5.174418605
Plattsburgh,44.61669922,-73.46530151,medium_airport,small,31,0.35483871,0.516129032,2,6.838709677
Fresno,36.91439819,-119.7860031,medium_airport,big,598,0.299331104,0.389632107,12.51003344,5.715719064
San Luis Obispo,35.23680115,-120.6419983,medium_airport,small,221,0.271493213,0.262443439,5.529411765,3.036199095
Rock Springs,41.59420013,-109.0650024,medium_airport,small,57,0.087719298,0.140350877,9.01754386,-11.01754386
Pellston,45.57089996,-84.79669952,medium_airport,small,54,0.185185185,0.351851852,18.35185185,0.833333333
Elko,40.82490158,-115.7919998,medium_airport,small,53,0.132075472,0.509433962,9.301886792,35.66037736
Gillette,44.34889984,-105.5390015,medium_airport,small,88,0.136363636,0.170454545,-4.727272727,-8.193181818
Medford,44.15269852,-93.2723999,medium_airport,small,235,0.259574468,0.336170213,12.65106383,3.736170213
Santa Maria,34.89889908,-120.4570007,medium_airport,small,61,0.278688525,0.435483871,14.21311475,9.435483871
Eugene,44.12459946,-123.211998,medium_airport,small,291,0.319587629,0.327586207,16.72508591,5.624137931
Helena,46.68849945,-111.8710022,medium_airport,small,118,0.118644068,0.319327731,-1.423728814,-3.336134454
Arcata/Eureka,40.97809982,-124.1090012,medium_airport,small,125,0.432,0.544,13.352,13.72
Eau Claire,44.72359848,-91.4598999,medium_airport,small,62,0.177419355,0.467741935,12.17741935,4.758064516
Jamestown,37.85960007,-120.5540009,medium_airport,small,74,0.283783784,0.337837838,11.18918919,3.121621622
Hays,38.7806015,-99.22119904,medium_airport,small,52,0.230769231,0.365384615,6.134615385,4.346153846
Paducah,36.96749878,-88.56529999,medium_airport,small,62,0.193548387,0.35483871,14.4516129,13.83870968
Cody,44.40439987,-109.2819977,medium_airport,small,33,0.363636364,0.363636364,53,13.15151515
Aberdeen,47.08480072,-123.7740021,medium_airport,small,62,0.274193548,0.290322581,11.35483871,-6.241935484
Alpena,45.13230133,-83.44799805,medium_airport,small,52,0.25,0.307692308,30.90384615,10.65384615
Bemidji,47.41109848,-94.77249908,medium_airport,small,62,0.177419355,0.435483871,7.241935484,8.451612903
Marquette,46.47219849,-87.35009766,medium_airport,small,54,0.37037037,0.345454545,43.51851852,11.49090909
Binghamton,42.19169998,-75.84130096,medium_airport,small,76,0.236842105,0.407894737,11.78947368,17.11842105
Rhinelander,45.63119888,-89.46749878,medium_airport,small,88,0.204545455,0.306818182,3.909090909,-1.181818182
Lewiston,44.90000153,-84.30000305,medium_airport,small,55,0.109090909,0.181818182,14.8,-11.18181818
Brainerd,46.39830017,-94.13809967,medium_airport,small,52,0.192307692,0.326923077,35.80769231,1.846153846
International Falls,48.56620026,-93.40309906,medium_airport,small,54,0.203703704,0.462962963,17.22222222,7.555555556
Pocatello,42.90980148,-112.5960007,medium_airport,small,56,0.25,0.535714286,0.660714286,6.892857143
Butte,45.95479965,-112.4970016,medium_airport,small,58,0.206896552,0.362068966,-0.275862069,14.56896552
Cedar City,37.70100021,-113.098999,medium_airport,small,51,0.37254902,0.62745098,1.666666667,9.62745098
Redding,40.67250061,-122.3420029,medium_airport,small,61,0.327868852,0.491803279,11.14754098,9.37704918
Islip,40.79520035,-73.10019684,medium_airport,small,381,0.343832021,0.295811518,3.661417323,-1.285340314
Laramie,41.31209946,-105.6750031,medium_airport,small,52,0.211538462,0.269230769,6.5,-7.903846154
Yakutat,59.19918024,-138.447293,medium_airport,small,60,0.05,0.116666667,-19.5,-8.933333333
Cordova,41.70420074,-90.25980377,medium_airport,small,60,0.05,0.1,-15.63333333,-12.81666667
Adak Island,51.87799835,-176.6459961,medium_airport,small,9,0.444444444,0.222222222,7.222222222,-3.222222222
Detroit,42.40919876,-83.00990295,large_airport,huge,9489,0.311623986,0.300433266,9.73221625,1.698298637
Atlanta,40.26940155,-89.30220032,large_airport,huge,29870,0.346970204,0.277115294,7.419317041,0.129664367
Los Angeles,33.94250107,-118.4079971,large_airport,huge,16322,0.393150349,0.373535366,9.82630805,2.346788541
Salt Lake City,40.78839874,-111.9779968,large_airport,huge,8684,0.279824965,0.291182895,5.425955781,0.422462352
Nashville,31.17849922,-83.22650146,large_airport,big,3898,0.280656747,0.286702537,6.020779887,-0.222905457
Jacksonville,32.017778,-95.79694444,large_airport,big,1500,0.273333333,0.345563709,5.366666667,3.269513009
Minneapolis,39.09469986,-97.72059631,large_airport,huge,9581,0.299342449,0.32790819,7.488675504,1.405946792
Savannah,40.96120071,-82.37069702,large_airport,big,531,0.265536723,0.372881356,4.261770245,4.150659134
Buffalo,36.84889984,-99.45670319,large_airport,big,1307,0.292272379,0.327245053,8.804131599,2.785388128
New York,40.63980103,-73.77890015,large_airport,huge,15962,0.357787245,0.354577928,10.45445433,4.893839694
Washington,38.8512,-77.0402,large_airport,huge,8984,0.285062333,0.297507788,5.494768477,0.6435247
Columbus,39.91120148,-83.188797,large_airport,big,1938,0.278637771,0.332990221,5.950464396,1.769428718
Dallas,32.81399918,-96.35220337,large_airport,big,5795,0.426402071,0.292148404,6.662985332,-1.168421053
Memphis,35.09680176,-89.2806015,large_airport,big,1151,0.215464813,0.251299827,1.986967854,-2.255632582
Miami,25.57010078,-80.39980316,large_airport,big,6083,0.491040605,0.441360053,15.01939832,9.626806833
Denver,35.59170151,-81.07939911,large_airport,huge,17511,0.339843527,0.241109652,5.909942322,-4.010217478
Seattle,47.52999878,-122.302002,large_airport,huge,9664,0.29915149,0.272736689,5.850062086,-2.911953594
Fort Lauderdale,26.07259941,-80.15270233,large_airport,big,7660,0.451174935,0.459657382,13.39321149,8.974369034
Hartford,41.29169846,-80.56369781,large_airport,big,1520,0.379605263,0.358552632,7.728947368,4.077631579
Raleigh/Durham,35.87760162,-78.78749847,large_airport,big,2569,0.308291164,0.324387398,6.038925652,3.26176585
Pittsburgh,40.60419846,-79.82060242,large_airport,big,1887,0.246952835,0.296610169,3.586115527,0.336334746
Sarasota/Bradenton,27.39539909,-82.55439758,large_airport,small,327,0.336391437,0.321100917,10.12232416,1.247706422
Louisville,38.08060074,-85.69329834,large_airport,big,746,0.353887399,0.338688086,9.757372654,2.895582329
Richmond,37.69414437,-77.66089439,large_airport,big,1155,0.245021645,0.335640138,6.406926407,4.017301038
Las Vegas,35.97280121,-115.1340027,large_airport,huge,12246,0.374244651,0.299305839,9.543524416,1.429154757
Cincinnati,39.04880142,-84.6678009,large_airport,big,1253,0.263367917,0.341054313,6.434158021,4.667731629
Chicago,41.53490067,-87.52950287,large_airport,huge,25289,0.429949781,0.292274831,10.49733086,-0.902654167
New Orleans,29.99340057,-90.25800323,large_airport,big,3507,0.272597662,0.306198229,5.282577702,0.816052556
Boise,43.68099976,-116.2030029,large_airport,big,1172,0.239761092,0.303754266,7.407849829,0.972696246
Newark,41.51950073,-88.60559845,large_airport,huge,8495,0.394938199,0.302645503,10.33478517,1.554614932
Jackson,36.3431015,-77.50939941,large_airport,small,403,0.344913151,0.35235732,13.60297767,6.441687345
Baltimore,39.84479904,-82.57959747,large_airport,big,7181,0.367636819,0.269027042,5.916863947,-0.959436855
Kansas City,38.95000076,-94.45020294,large_airport,big,3320,0.274698795,0.29593985,4.17439759,-0.869473684
Rochester,46.82479858,-123.0350037,large_airport,big,662,0.232628399,0.333333333,4.090634441,1.746606335
Tampa,27.84930038,-82.52120209,large_airport,big,6006,0.321844822,0.358905937,6.638528139,3.510673783
Charleston,45.04135,-68.990021,large_airport,big,1015,0.244334975,0.342857143,5.418719212,2.495566502
Oakland,39.33340073,-79.44139862,large_airport,big,3622,0.446162341,0.405136703,8.520430701,3.563104115
Phoenix,33.68420029,-112.1640015,large_airport,huge,12989,0.3457541,0.302076923,5.682346601,-1.919076923
Orlando,28.58939934,-81.14420319,large_airport,huge,10637,0.390335621,0.375494071,9.655259942,4.092320723
Fort Myers,26.65620041,-82.12120056,large_airport,big,3294,0.348816029,0.391119221,9.697632058,3.95620438
Honolulu,21.31870079,-157.9219971,large_airport,big,3301,0.260830051,0.462968516,1.565283248,7.256371814
Indianapolis,39.74810028,-86.47380066,large_airport,big,2209,0.272068809,0.31807884,4.631507469,0.251472587
Cleveland,30.31270027,-95.02690125,large_airport,big,2680,0.290298507,0.30171131,6.768656716,0.193080357
Little Rock,34.82244492,-92.44441986,large_airport,big,614,0.205211726,0.283387622,3.879478827,1.667752443
Houston,33.80070114,-89.02729797,large_airport,huge,16200,0.340432099,0.266740796,5.819876543,-2.188905362
Philadelphia,39.84999847,-91.73349762,large_airport,big,5664,0.305967514,0.288837947,6.367408192,-0.032798448
Portland,40.34030151,-85.01799774,large_airport,big,4482,0.263052209,0.266978401,4.785586792,-2.44845246
Boston,42.36429977,-71.00520325,large_airport,huge,9088,0.324383803,0.336703297,7.132262324,2.647032967
San Diego,32.88970184,-117.2470016,large_airport,big,6003,0.332500416,0.322059314,7.651340996,-0.475508164
Dayton,30.01269913,-94.92410278,large_airport,big,572,0.265734266,0.378708551,10.63111888,7.469458988
Anchorage,61.16830063,-150.1609955,large_airport,big,1222,0.132569558,0.140163934,-2.906710311,-14.59754098
Oklahoma City,35.54130173,-97.45310211,large_airport,big,1322,0.19515885,0.289274924,1.127080182,-0.74244713
San Francisco,37.61899948,-122.375,large_airport,huge,13144,0.395237371,0.427147531,13.34654595,13.69694895
Columbia,35.69729996,-86.95690155,large_airport,small,427,0.2529274,0.392523364,9.658079625,8.901869159
San Antonio,29.7390995,-98.45110321,large_airport,big,2342,0.253629377,0.276068376,2.408198121,-1.649145299
Sacramento,37.39390182,-87.2589035,large_airport,big,3152,0.35786802,0.385225111,8.149428934,3.549461002
Milwaukee,42.94720078,-87.89659882,large_airport,big,2703,0.295967444,0.298595713,7.199408065,-0.21286031
San Jose,37.332901,-121.8190002,large_airport,big,3201,0.32364886,0.357365793,6.243986254,2.147315855
Austin,38.83330154,-107.8590012,large_airport,big,3581,0.28874616,0.275900586,4.411337615,-1.798938844
Albuquerque,35.04019928,-106.6090012,large_airport,big,1443,0.296604297,0.2816609,5.789327789,-1.098269896
Charlotte,35.83330154,-91.4332962,large_airport,huge,9213,0.331922284,0.326647875,6.526538587,1.459562012
Reno,39.66740036,-119.8759995,large_airport,big,1001,0.322677323,0.324675325,8.501498501,0.628371628
Springfield,44.30720139,-94.91690063,large_airport,small,373,0.230563003,0.384,6.490616622,7.018666667
Madison,36.35720062,-79.99749756,large_airport,big,576,0.217013889,0.320623917,3.607638889,1.681109185
Tulsa,36.13899994,-95.82499695,large_airport,big,1199,0.197664721,0.291666667,1.738949124,0
Panama City,30.10239983,-85.46240234,large_airport,small,323,0.164086687,0.200617284,1.647058824,-2.75308642
Huntsville,46.28919983,-118.1009979,large_airport,small,314,0.222929936,0.26031746,7.292993631,2.546031746
Birmingham,33.54320145,-86.9858017,large_airport,big,891,0.298540965,0.331838565,5.214365881,0.959641256
Spokane,47.58179855,-117.4369965,large_airport,big,857,0.252042007,0.329452852,6,0.611175786
Knoxville,41.95899963,-77.42610168,large_airport,big,525,0.253333333,0.395793499,4.792380952,9.221797323
Billings,45.94309998,-108.5490036,large_airport,small,283,0.113074205,0.199288256,-0.671378092,-6.911032028
Syracuse,41.41889954,-85.6917038,large_airport,small,458,0.268558952,0.323144105,8.148471616,1.914847162
Santa Ana,33.67570114,-117.8679962,large_airport,big,3465,0.315728716,0.300895178,4.522943723,-2.047357782
Colorado Springs,38.94580078,-104.5699997,large_airport,big,628,0.253184713,0.357710652,8.25,4.779014308
Norfolk,36.66559982,-76.3207016,large_airport,big,846,0.296690307,0.337662338,8.260047281,3.40377804
Ontario,44.02050018,-117.0139999,large_airport,big,1598,0.33979975,0.361076345,8.770337922,4.554443054
Roanoke,41.00920105,-85.37139893,large_airport,small,183,0.245901639,0.360655738,4.524590164,3.972677596
Daytona Beach,29.0802002,-81.04669952,large_airport,small,147,0.224489796,0.267123288,12.82312925,-0.650684932
Wichita,37.61029816,-97.16249847,large_airport,big,688,0.220930233,0.309593023,4.478197674,-0.32994186
Lafayette,40.00469971,-105.0719986,large_airport,small,269,0.226765799,0.266666667,6.431226766,0.2
Valparaiso,41.07450104,-96.90450287,large_airport,small,360,0.177777778,0.239554318,2.775,-0.267409471
Chattanooga,35.18759918,-85.17769623,large_airport,small,343,0.311953353,0.328488372,11.35860058,5.005813953
Manchester,35.51589966,-85.95359802,large_airport,small,443,0.261851016,0.330316742,6.810383747,3.522624434
Tucson,32.29899979,-111.3170013,large_airport,big,1419,0.22832981,0.308668076,4.131782946,-0.710359408
Asheville,35.43619919,-82.54180145,large_airport,small,204,0.294117647,0.299019608,15.05392157,4.93627451
Lexington,43.34690094,-82.55220032,large_airport,small,365,0.298630137,0.343324251,11.97808219,6.871934605
Green Bay,44.50830078,-87.86070251,large_airport,small,241,0.228215768,0.349794239,7.070539419,4.333333333
Tallahassee,30.47750092,-84.03469849,large_airport,small,208,0.254807692,0.269230769,12.38942308,2.774038462
Des Moines,41.54809952,-93.42919922,large_airport,big,656,0.318597561,0.339908953,6.852134146,0.538694992
Shreveport,32.59180069,-93.82800293,large_airport,small,481,0.178794179,0.253638254,3.983367983,0.349272349
Augusta,37.73419952,-96.93669891,large_airport,small,196,0.280612245,0.397959184,9.673469388,11.34183673
Bloomington/Normal,40.47710037,-88.91590118,large_airport,small,91,0.307692308,0.417582418,9.505494505,8.307692308
Mobile,32.9822998,-112.2870026,large_airport,small,353,0.169971671,0.288951841,4.065155807,4.410764873
Fairbanks,64.928467,-147.879778,large_airport,small,174,0.120689655,0.109195402,-6.448275862,-13.96551724
Fort Smith,45.32080078,-107.9309998,large_airport,small,148,0.148648649,0.295302013,-0.493243243,1.67114094
Baton Rouge,30.2968998,-91.21499634,large_airport,big,590,0.206779661,0.376910017,4.650847458,3.220713073
Joplin,37.15179825,-94.49829865,large_airport,small,62,0.129032258,0.193548387,7.241935484,0.387096774
Peoria,40.79529953,-89.61340332,large_airport,small,249,0.305220884,0.336,10.02008032,2.8
Lubbock,33.47249985,-101.7850037,large_airport,small,399,0.155388471,0.285,-0.185463659,-1.065
Monroe,32.50429916,-91.98210144,large_airport,small,247,0.174089069,0.300813008,3.48582996,2.882113821
Moline,37.38059998,-96.27079773,large_airport,small,216,0.217592593,0.369863014,9.638888889,5.776255708
Erie,47.09799957,-97.40119934,large_airport,small,58,0.275862069,0.396551724,4.396551724,6.275862069
Amarillo,35.14199829,-101.8379974,large_airport,small,246,0.207317073,0.284552846,3.56504065,-1.776422764
South Bend,41.66249847,-86.35420227,large_airport,small,396,0.29040404,0.376262626,9.621212121,15.25505051
Corpus Christi,27.72109985,-97.51280212,large_airport,small,248,0.153225806,0.287449393,-2.120967742,-1.473684211
Montgomery,30.33300018,-95.61219788,large_airport,small,191,0.293193717,0.333333333,15.26701571,7.984375
Bangor,40.91049957,-75.1651001,large_airport,small,6,0.166666667,0.75,-4.833333333,8.25
Duluth,46.84209824,-92.19360352,large_airport,small,173,0.329479769,0.416184971,13.91907514,6.820809249
Fort Wayne,40.97850037,-85.19509888,large_airport,small,308,0.25974026,0.391585761,9.983766234,11.31391586
Casper,42.889733,-106.674866,large_airport,small,139,0.18705036,0.201438849,-0.928057554,-4.503597122
Hibbing,47.38660049,-92.83899689,large_airport,small,83,0.325301205,0.457831325,32.90361446,20.85542169
Dallas/Fort Worth,32.89680099,-97.03800201,large_airport,huge,16565,0.31325083,0.273171615,5.91222457,-0.589367608
West Palm Beach/Palm Beach,26.68320084,-80.09559631,large_airport,big,2436,0.456075534,0.465020576,13.69211823,9.955967078
Greensboro/High Point,36.09780121,-79.93730164,large_airport,small,427,0.208430913,0.292056075,5.81498829,6.196261682
Gulfport/Biloxi,30.40730095,-89.07009888,large_airport,small,264,0.189393939,0.276515152,5.424242424,2.477272727
St. Louis,38.66210175,-90.65200043,large_airport,big,4321,0.356398982,0.318981481,6.567692664,0.030787037
San Juan,39.32490158,-121.0759964,small_airport,big,2408,0.436461794,0.451356994,13.01328904,7.517745303
Bismarck/Mandan,46.77270126,-100.7460022,medium_airport,small,208,0.230769231,0.350961538,8.865384615,3.980769231
Newport News/Williamsburg,37.13190079,-76.49299622,large_airport,small,88,0.238636364,0.261363636,2.772727273,1.897727273
Bristol/Johnson City/Kingsport,36.47520065,-82.40740204,large_airport,small,162,0.265432099,0.314814815,5.654320988,1.691358025
Montrose/Delta,38.50979996,-107.8939972,medium_airport,small,153,0.235294118,0.315789474,6.91503268,0.480263158
Scranton/Wilkes-Barre,41.33850098,-75.7233963,medium_airport,small,153,0.241830065,0.296774194,2.503267974,0.2
Jackson/Vicksburg,32.31119919,-90.07589722,large_airport,small,429,0.167832168,0.264018692,2.177156177,-1.264018692
Charlotte Amalie,35.2140007,-80.94309998,large_airport,small,448,0.390625,0.394618834,15.37723214,8.443946188
Pasco/Kennewick/Richland,46.26470184,-119.1190033,medium_airport,small,298,0.191275168,0.345637584,10.47986577,4.976510067
Christiansted,40.050278,-84.013056,small_airport,small,98,0.295918367,0.418367347,10.46938776,12
Newburgh/Poughkeepsie,41.5041008,-74.10479736,medium_airport,small,67,0.402985075,0.564516129,19.71641791,11.77419355
Allentown/Bethlehem/Easton,40.65209961,-75.44080353,medium_airport,small,180,0.283333333,0.375690608,9.55,4.154696133
Charleston/Dunbar,32.89860153,-80.04049683,large_airport,small,196,0.331632653,0.37244898,9.367346939,2.948979592
Lawton/Fort Sill,34.56769943,-98.41660309,medium_airport,small,87,0.091954023,0.181818182,-3.436781609,-2.590909091
Midland/Odessa,31.94249916,-102.2020035,medium_airport,small,471,0.161358811,0.264830508,0.352441614,-0.849576271
Mission/McAllen/Edinburg,26.20619965,-98.40110016,small_airport,small,194,0.077319588,0.170103093,-2.458762887,-5.469072165
Cedar Rapids/Iowa City,41.88470078,-91.71080017,large_airport,small,242,0.26446281,0.325102881,9.454545455,1.930041152
College Station/Bryan,30.58860016,-96.36380005,medium_airport,small,54,0.055555556,0.163636364,-4.518518519,-3.090909091
Harlingen/San Benito,26.22850037,-97.65440369,medium_airport,small,244,0.180327869,0.224489796,-0.06557377,-3.52244898
Jacksonville/Camp Lejeune,30.49410057,-81.68789673,large_airport,small,90,0.277777778,0.488888889,9.377777778,10.01111111
New Bern/Morehead/Beaufort,35.07300186,-77.04290009,medium_airport,small,55,0.181818182,0.472727273,0.127272727,11.18181818
Saginaw/Bay City/Midland,43.53290176,-84.07959747,large_airport,small,189,0.26984127,0.375661376,13.26455026,9.534391534
Sun Valley/Hailey/Ketchum,43.50439835,-114.2959976,medium_airport,small,115,0.260869565,0.169491525,10.27826087,2.186440678
Hancock/Houghton,47.16839981,-88.4890976,medium_airport,small,62,0.35483871,0.428571429,29.19354839,15.82539683
St. George,56.57830048,-169.6620026,medium_airport,small,153,0.209150327,0.503267974,0.784313725,6.843137255
Bend/Redmond,44.00320053,-121.2720032,small_airport,small,183,0.207650273,0.306010929,6.825136612,4.754098361
Ithaca/Cortland,42.49100113,-76.45839691,medium_airport,small,59,0.237288136,0.372881356,4.305084746,1.169491525
Sault Ste. Marie,46.25080109,-84.47239685,medium_airport,small,58,0.189655172,0.275862069,10.75862069,7.086206897
Iron Mountain/Kingsfd,45.81840134,-88.11450195,small_airport,small,57,0.228070175,0.350877193,13.96491228,2.877192982
North Bend/Coos Bay,43.417099,-124.2460022,medium_airport,small,17,0.470588235,0.529411765,21.88235294,17.58823529
Hayden,40.48120117,-107.2180023,small_airport,small,185,0.264864865,0.27173913,3.043243243,-2.625
